[DEBUG] [2021-01-21 13:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5f29271b25cf46a3968667a7c38478f7, msgType : 19
[DEBUG] [2021-01-21 13:00:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 44f2025bf6694a1a859af3a34575e254, msgType : 19
[DEBUG] [2021-01-21 13:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ac84f8da96a340778a8e1da2d79edb14, msgType : 19
[DEBUG] [2021-01-21 13:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : faad97f6a7164f05b802d53506f592a7, msgType : 19
[DEBUG] [2021-01-21 13:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c3ac04ada9ef4e69bf61b47c608ab919, msgType : 19
[DEBUG] [2021-01-21 13:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0296fa7e73104f878804602dc5392bdb, msgType : 19
[DEBUG] [2021-01-21 13:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4059ffe916304611b19974707fde7f7c, msgType : 19
[DEBUG] [2021-01-21 13:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1ac6c6f87dae48cfaaf9e986f54d09c3, msgType : 19
[DEBUG] [2021-01-21 13:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87331621486d4fd6b9831c94e784e00a, msgType : 19
[DEBUG] [2021-01-21 13:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b099c1b1336a42d1a8f61c0e37900290, msgType : 19
[DEBUG] [2021-01-21 13:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1c4b407eeb8f437385bd10b924a3ad1f, msgType : 19
[DEBUG] [2021-01-21 13:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e8d89dc257794f49812f2afa233c2d2f, msgType : 19
[DEBUG] [2021-01-21 13:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9ae74ec9f5094462936bbe724afceaa3, msgType : 19
[DEBUG] [2021-01-21 13:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 29ec5f860d16404b85280b52b2c5a2d3, msgType : 19
[DEBUG] [2021-01-21 13:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : aa0f321ab1ed4b438d56d8c45f810bf6, msgType : 19
[DEBUG] [2021-01-21 13:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 69e371bc118f4ee3a48d8c8aed9f5a82, msgType : 19
[DEBUG] [2021-01-21 13:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e90f4827832e436e94644174d9a7284c, msgType : 19
[DEBUG] [2021-01-21 13:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 30453d33aa0049a68f6e88dc034f0150, msgType : 19
[DEBUG] [2021-01-21 13:00:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c382fd2085ca4913b199ac998d77a544, msgType : 19
[DEBUG] [2021-01-21 13:00:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 63350ec99f034e39b74d333c8259dc9c, msgType : 19
[DEBUG] [2021-01-21 13:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b3a45066ef364e4c91b5e4204f3a4a3b, msgType : 19
[DEBUG] [2021-01-21 13:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1555d68b71c840f1aa178e08d940108a, msgType : 19
[DEBUG] [2021-01-21 13:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5d77e351156b46549700b1914eb647f7, msgType : 19
[DEBUG] [2021-01-21 13:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9715c71414004951bd80b6ee96519f99, msgType : 19
[DEBUG] [2021-01-21 13:00:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a12bc8061803459ca334efe38e00cfa3, msgType : 19
[DEBUG] [2021-01-21 13:00:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0524375a763341078d3f2917dfca2c09, msgType : 19
[DEBUG] [2021-01-21 13:00:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b091c45c08649338c24b36299a2dc4a, msgType : 19
[DEBUG] [2021-01-21 13:00:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 218869c278b244c385bb99c8b9a0a894, msgType : 19
[DEBUG] [2021-01-21 13:00:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7de8f77230e049e98d89ae94bdc24ad4, msgType : 19
[DEBUG] [2021-01-21 13:00:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2515c6c69e044bf885848f271c44e003, msgType : 19
[DEBUG] [2021-01-21 13:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cd8a0c1c3424457594032e77126b256e, msgType : 19
[DEBUG] [2021-01-21 13:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f9c4ea89c599426bb8c0d383a9793f27, msgType : 19
[DEBUG] [2021-01-21 13:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dc68b1d5ee354381a39bf82c71573106, msgType : 19
[DEBUG] [2021-01-21 13:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9dc83aed89fe466e953914ca6a29b3df, msgType : 19
[INFO] [2021-01-21 13:00:59] ContractABIDefinition.addFunction(84) |  name: enc, methodId: 0xcdfd6e1e, methodSignature: enc(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:00:59] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@a811e68b
[INFO] [2021-01-21 13:00:59] ContractABIDefinition.addFunction(84) |  name: CallPaillier, methodId: 0xe49f13a8, methodSignature: CallPaillier(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:00:59] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7a68cfc7
[INFO] [2021-01-21 13:00:59] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@5da7cee2 
[INFO] [2021-01-21 13:00:59] ABIObjectFactory.createObject(32) |  name: enc
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2e780305b46f4c3dacc11dfb875c24a1, msgType : 18
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3256ce23adee49ebab0d78e1f5fc9a77, msgType : 19
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 971cfeb61d584e7390d92b1678cf8138, msgType : 19
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:00:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 10, groupId: 1
[DEBUG] [2021-01-21 13:00:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 10, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2e780305b46f4c3dacc11dfb875c24a1, msgType : 4096
[DEBUG] [2021-01-21 13:00:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 10, groupId: 1
[DEBUG] [2021-01-21 13:00:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 10, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-21 13:00:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-21 13:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0bf051d104584ff7844732b56b8bc382, msgType : 19
[DEBUG] [2021-01-21 13:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 63b3fe59c20e45caa6529e57ad3a861f, msgType : 19
[DEBUG] [2021-01-21 13:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 900a4a2b06de49c6943f079da9b80560, msgType : 19
[DEBUG] [2021-01-21 13:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0da4b278b58048f3a7b1782a86dfa6b6, msgType : 19
[DEBUG] [2021-01-21 13:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8845a2d8ad2a44ba9f0a7727e48f3695, msgType : 18
[DEBUG] [2021-01-21 13:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cd94b95db5944d63ae5bceb95b11c1e8, msgType : 18
[DEBUG] [2021-01-21 13:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8d29913ac54f4803a28f66d7cba2548d, msgType : 19
[DEBUG] [2021-01-21 13:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b1310631527494e95a91a859762d842, msgType : 19
[DEBUG] [2021-01-21 13:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 72388a6191194b45a4f697b3a8f8977c, msgType : 19
[DEBUG] [2021-01-21 13:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 75af167c60254a76b2b3c53c0e250885, msgType : 19
[DEBUG] [2021-01-21 13:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a81c1dd4f2274d3d8a12233be6265bd9, msgType : 19
[DEBUG] [2021-01-21 13:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 09b98f45b0054f18afdc98359194a5ce, msgType : 19
[DEBUG] [2021-01-21 13:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b179547606fb4bcb919edcbc189f89c3, msgType : 19
[DEBUG] [2021-01-21 13:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f0d644609c254ff094f22df93fa9cd16, msgType : 19
[DEBUG] [2021-01-21 13:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e3025ba2684e4d4fac6c4412680e6bf6, msgType : 19
[DEBUG] [2021-01-21 13:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0ae1268ed7264a6d9592eef75c65f53c, msgType : 19
[DEBUG] [2021-01-21 13:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cf2365ef07154bffa34ff19dd97aaf29, msgType : 19
[DEBUG] [2021-01-21 13:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2de3ca4452d2459aab3e6fd3e83a4a7a, msgType : 19
[DEBUG] [2021-01-21 13:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d64946e821646ee9804c4c9fd1e0f6f, msgType : 19
[DEBUG] [2021-01-21 13:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0e37e492184d463cabb1a3c6d7f294a8, msgType : 19
[DEBUG] [2021-01-21 13:01:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2a4ec2d046a34d8a95915cee9adedd40, msgType : 19
[DEBUG] [2021-01-21 13:01:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 27f2d08cff7c47fab4cfb8111b5de515, msgType : 19
[DEBUG] [2021-01-21 13:01:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d1ce42ddfb8442dcb30538145cc2b86e, msgType : 19
[DEBUG] [2021-01-21 13:01:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9957d0610a264b8ebd9e55a5c263757d, msgType : 19
[DEBUG] [2021-01-21 13:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fdf7015e81a44bb39926004798e34fa9, msgType : 19
[DEBUG] [2021-01-21 13:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : becd32a8f9864dbdac329c2a6e9788fd, msgType : 19
[DEBUG] [2021-01-21 13:01:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5d6b7b8b570141c688fa1949aa2a1036, msgType : 19
[DEBUG] [2021-01-21 13:01:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2bde673cf2f44c74b37c9623e8b6f48c, msgType : 19
[DEBUG] [2021-01-21 13:01:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e9fc87c4dc0b4e5d808a249ff54def71, msgType : 19
[DEBUG] [2021-01-21 13:01:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 70be322b862f431faba6a381ce2d4090, msgType : 19
[DEBUG] [2021-01-21 13:01:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0272c4ae87be482388b0ccf9cecb4853, msgType : 19
[DEBUG] [2021-01-21 13:01:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d8b1dcfc6d8c49e1af8b9ee0f804ca52, msgType : 19
[DEBUG] [2021-01-21 13:01:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b474782d93ca431c9ff8389e6a0fc945, msgType : 19
[DEBUG] [2021-01-21 13:01:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 74779f1bbfa147b2b3e88697f8b8c0f6, msgType : 19
[DEBUG] [2021-01-21 13:01:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e903457d7f0842c4873bc8e547244530, msgType : 19
[DEBUG] [2021-01-21 13:01:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bd2fccbc841b467eade9f6ee0302ca01, msgType : 19
[DEBUG] [2021-01-21 13:01:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8c8b5e78bb1d46788c58dcfd87c3acd0, msgType : 19
[DEBUG] [2021-01-21 13:01:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 25dd1952bb2941e682acb0f4fa90024d, msgType : 19
[DEBUG] [2021-01-21 13:01:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9ffb354dbcca447ab83704de50077d03, msgType : 19
[DEBUG] [2021-01-21 13:01:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9b9ea317147c4b2a89960fddede209c2, msgType : 19
[DEBUG] [2021-01-21 13:01:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fecf1c35c3cb4dacb42147d26ae07efd, msgType : 19
[DEBUG] [2021-01-21 13:01:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4d1a55b27e33463195d9d4d5737dedc1, msgType : 19
[DEBUG] [2021-01-21 13:01:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e05fbf0631704f14ab33569f80e1b8db, msgType : 19
[DEBUG] [2021-01-21 13:01:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 63fea03f30904362a49387f07da7a172, msgType : 19
